ACTIVITY_FEES,COMMUNICATIONS_AND_IT_EXPENSE,CUSTOMER_ID,END_DATE,INTEREST_EXPENSE,INTEREST_INCOME,LAST_CUSTOMER_REPLIED_TO_OFFER_INDICATOR,LAST_CUSTOMER_REPLY_TIME,LAST_PRODUCT_OFFER_CAMPAIGN,LAST_PRODUCT_OFFER_DATE,PRODUCT_ID,PRODUCT_OFFERED_INDICATOR,PRODUCT_OWNED_INDICATOR,SENTIMENT_SCORE,START_DATE,STATUS,STATUS_DATE,STATUS_REASON
8176.840799897199,377.25362167881707,1000,2018-01-31,538.0385405694736,417.6208048876638,True,16,More Generous Investing,2018-01-02,Cash,True,True,1,2018-01-01,Active,2018-01-02,Active Client
8176.840799897199,292.2807580238328,1000,2018-01-31,858.6765067499608,826.2433835526164,True,128,The Best Things in Life Are Not Fees,2018-01-02,Brokerage,True,True,0,2018-01-01,Active,2018-01-02,Active Client
8176.840799897199,619.624921373315,1000,2018-01-31,466.65155730293,928.8642251652316,True,148,,2018-07-23,Savings,True,False,0,2018-01-01,Inactive,2018-01-02,Inactive Client
55630.82704161626,441.6187336494577,1001,2017-11-30,609.1153035266317,607.6129353657071,True,60,More Generous Investing,2017-11-29,Savings,True,True,1,2017-11-01,Active,2017-11-29,Active Client
55630.82704161626,6.782678088284945,1001,2017-11-30,743.0131269071578,245.0013319141709,True,100,A Loan With A View,2017-11-29,Education,True,True,4,2017-11-01,Active,2017-11-29,Active Client
55630.82704161626,629.0562817610296,1001,2017-11-30,493.355333287507,730.3176896749998,True,118,Wealth Comes in Many Forms,2017-11-29,FinancialPlan,True,True,1,2017-11-01,Active,2017-11-29,Active Client
55630.82704161626,101.99719918501532,1001,2017-11-30,628.9863814361836,121.3026563018112,True,122,,2018-05-02,RetirementBrokerage,True,False,1,2017-11-01,Inactive,2017-11-29,Inactive Client
55630.82704161626,575.0177724152833,1001,2017-11-30,378.1960249240972,336.7318078188625,False,0.0,,2018-05-19,RetirementPlan,True,False,4,2017-11-01,Inactive,2017-11-29,Inactive Client
55630.82704161626,370.2974091330762,1001,2017-11-30,531.594607128097,101.9763822575001,False,0.0,,2018-06-16,ManagedPortfolio,True,False,4,2017-11-01,Inactive,2017-11-29,Inactive Client
55630.82704161626,502.1136541009167,1001,2017-11-30,322.65572376615114,451.4005329195401,True,65,A Loan With A View,2017-11-29,RetirementBasic,True,True,0,2017-11-01,Active,2017-11-29,Active Client
17026.50781072454,168.7675844899068,1002,2017-08-31,966.5808300708868,64.50708204416048,True,37,Now Prove It,2017-08-28,FinancialPlan,True,True,3,2017-08-01,Active,2017-08-28,Active Client
17026.50781072454,132.24982768690697,1002,2017-08-31,210.34507433309102,769.1388656545308,True,53,Now Prove It,2017-08-28,RetirementPlan,True,True,4,2017-08-01,Active,2017-08-28,Active Client
17026.50781072454,294.45918929746904,1002,2017-08-31,548.3707950457764,45.001114471929306,True,102,,2018-08-06,ManagedPortfolio,True,False,4,2017-08-01,Inactive,2017-08-28,Inactive Client
17026.50781072454,795.5956569684221,1002,2017-08-31,613.7169516189796,859.2664148598986,False,0.0,,2018-01-13,RetirementBasic,True,False,4,2017-08-01,Inactive,2017-08-28,Inactive Client
11387.339504206888,86.35324139399148,1003,2018-01-31,51.1557975608439,817.8076834383002,True,47,Now Prove It,2018-01-17,Cash,True,True,2,2018-01-01,Active,2018-01-17,Active Client
11387.339504206888,572.4304953118392,1003,2018-01-31,482.00298230600976,102.00484434674695,True,134,,2018-05-28,Brokerage,True,False,2,2018-01-01,Inactive,2018-01-17,Inactive Client
11387.339504206888,992.4208362799451,1003,2018-01-31,917.2466241271846,945.1472225449894,True,96,A Loan With A View,2018-01-17,Savings,True,True,2,2018-01-01,Active,2018-01-17,Active Client
11387.339504206888,235.7837745829675,1003,2018-01-31,781.7857876078398,563.7039382946691,True,25,Now Prove It,2018-01-17,Education,True,True,0,2018-01-01,Active,2018-01-17,Active Client
9134.06132980805,237.49777866469162,1004,2018-01-31,795.8773269648427,208.68422483591198,True,21,More Generous Investing,2018-01-03,FinancialPlan,True,True,5,2018-01-01,Active,2018-01-03,Active Client
9134.06132980805,640.5845903078616,1004,2018-01-31,663.2711776034938,316.725842465847,False,0.0,,2018-05-15,RetirementBrokerage,True,False,0,2018-01-01,Inactive,2018-01-03,Inactive Client
9134.06132980805,144.59576068885687,1004,2018-01-31,619.1162042799606,403.8338652654992,True,93,A Loan With A View,2018-01-03,RetirementPlan,True,True,4,2018-01-01,Active,2018-01-03,Active Client
47793.01853833802,881.5511034643957,1005,2017-11-30,553.2003798265335,784.0090506075112,True,57,Now Prove It,2017-11-01,RetirementBrokerage,True,True,2,2017-10-01,Active,2017-11-01,Active Client
47793.01853833802,0.10898664686871012,1005,2017-11-30,782.2153076913347,187.17215983870895,True,74,More Generous Investing,2017-11-01,RetirementPlan,True,True,3,2017-10-01,Active,2017-11-01,Active Client
47793.01853833802,928.3362227047986,1005,2017-11-30,654.3336975082883,992.6204018788146,True,141,,2018-06-11,ManagedPortfolio,True,False,1,2017-10-01,Inactive,2017-11-01,Inactive Client
47793.01853833802,133.24104001616726,1005,2017-11-30,0.6951359616510215,219.10772741953477,True,5,More Generous Investing,2017-11-01,RetirementBasic,True,True,2,2017-10-01,Active,2017-11-01,Active Client
44497.843681579325,337.93231201897623,1006,2017-08-31,92.24835207361154,406.5470295975434,True,99,Now Prove It,2017-08-03,FinancialPlan,True,True,2,2017-08-01,Active,2017-08-03,Active Client
44497.843681579325,503.8862652533025,1006,2017-08-31,703.4198942764081,583.1401484984755,True,104,Wealth Comes in Many Forms,2017-08-03,RetirementBrokerage,True,True,0,2017-08-01,Active,2017-08-03,Active Client
44497.843681579325,95.35012812005239,1006,2017-08-31,464.4007264898062,805.4769131952577,True,5,More Generous Investing,2017-08-03,RetirementPlan,True,True,1,2017-08-01,Active,2017-08-03,Active Client
44497.843681579325,854.4572550951403,1006,2017-08-31,634.9630068515418,388.72400529378547,True,141,,2018-09-10,ManagedPortfolio,True,False,2,2017-08-01,Inactive,2017-08-03,Inactive Client
154092.12732018877,455.3229353804385,1007,2016-12-31,276.0673131140108,182.16311569275427,True,122,Now Prove It,2016-12-23,Brokerage,True,True,5,2016-12-01,Active,2016-12-23,Active Client
154092.12732018877,42.660951787739386,1007,2016-12-31,145.6506856140832,388.9812280991002,False,0.0,,2017-12-03,Savings,True,False,2,2016-12-01,Inactive,2016-12-23,Inactive Client
154092.12732018877,360.2500368122837,1007,2016-12-31,855.8166669078466,790.5495313592817,True,82,More Generous Investing,2016-12-23,FinancialPlan,True,True,2,2016-12-01,Active,2016-12-23,Active Client
