COMMUNICATIONS_AND_IT_EXPENSE,CUSTOMER_ID,END_DATE,INTEREST_EXPENSE,INTEREST_INCOME,LAST_CUSTOMER_REPLIED_TO_OFFER_INDICATOR,LAST_CUSTOMER_REPLY_TIME,LAST_PRODUCT_OFFER_CAMPAIGN,LAST_PRODUCT_OFFER_DATE,PRODUCT_ID,PRODUCT_OFFERED_INDICATOR,PRODUCT_OWNED_INDICATOR,SENTIMENT_SCORE,START_DATE,STATUS2,STATUS_DATE2,STATUS_REASON
377.2536217,1000,31/01/2018,538.0385406,417.6208049,TRUE,16,More Generous Investing,02/01/2018,Cash,TRUE,TRUE,1,01/01/2018,Active,02/01/2018,Active Client
292.280758,1000,31/01/2018,858.6765067,826.2433836,TRUE,128,The Best Things in Life Are Not Fees,02/01/2018,Brokerage,TRUE,TRUE,0,01/01/2018,Active,02/01/2018,Active Client
619.6249214,1000,31/01/2018,466.6515573,928.8642252,TRUE,148,,23/07/2018,Savings,TRUE,FALSE,0,01/01/2018,Inactive,02/01/2018,Inactive Client
441.6187336,1001,30/11/2017,609.1153035,607.6129354,TRUE,60,More Generous Investing,29/11/2017,Savings,TRUE,TRUE,1,01/11/2017,Active,29/11/2017,Active Client
6.782678088,1001,30/11/2017,743.0131269,245.0013319,TRUE,100,A Loan With A View,29/11/2017,Education,TRUE,TRUE,4,01/11/2017,Active,29/11/2017,Active Client
629.0562818,1001,30/11/2017,493.3553333,730.3176897,TRUE,118,Wealth Comes in Many Forms,29/11/2017,FinancialPlan,TRUE,TRUE,1,01/11/2017,Active,29/11/2017,Active Client
101.9971992,1001,30/11/2017,628.9863814,121.3026563,TRUE,122,,02/05/2018,RetirementBrokerage,TRUE,FALSE,1,01/11/2017,Inactive,29/11/2017,Inactive Client
575.0177724,1001,30/11/2017,378.1960249,336.7318078,FALSE,0,,19/05/2018,RetirementPlan,TRUE,FALSE,4,01/11/2017,Inactive,29/11/2017,Inactive Client
370.2974091,1001,30/11/2017,531.5946071,101.9763823,FALSE,0,,16/06/2018,ManagedPortfolio,TRUE,FALSE,4,01/11/2017,Inactive,29/11/2017,Inactive Client
502.1136541,1001,30/11/2017,322.6557238,451.4005329,TRUE,65,A Loan With A View,29/11/2017,RetirementBasic,TRUE,TRUE,0,01/11/2017,Active,29/11/2017,Active Client
168.7675845,1002,31/08/2017,966.5808301,64.50708204,TRUE,37,Now Prove It,28/08/2017,FinancialPlan,TRUE,TRUE,3,01/08/2017,Active,28/08/2017,Active Client
132.2498277,1002,31/08/2017,210.3450743,769.1388657,TRUE,53,Now Prove It,28/08/2017,RetirementPlan,TRUE,TRUE,4,01/08/2017,Active,28/08/2017,Active Client
294.4591893,1002,31/08/2017,548.370795,45.00111447,TRUE,102,,06/08/2018,ManagedPortfolio,TRUE,FALSE,4,01/08/2017,Inactive,28/08/2017,Inactive Client
795.595657,1002,31/08/2017,613.7169516,859.2664149,FALSE,0,,13/01/2018,RetirementBasic,TRUE,FALSE,4,01/08/2017,Inactive,28/08/2017,Inactive Client
86.35324139,1003,31/01/2018,51.15579756,817.8076834,TRUE,47,Now Prove It,17/01/2018,Cash,TRUE,TRUE,2,01/01/2018,Active,17/01/2018,Active Client
572.4304953,1003,31/01/2018,482.0029823,102.0048443,TRUE,134,,28/05/2018,Brokerage,TRUE,FALSE,2,01/01/2018,Inactive,17/01/2018,Inactive Client
992.4208363,1003,31/01/2018,917.2466241,945.1472225,TRUE,96,A Loan With A View,17/01/2018,Savings,TRUE,TRUE,2,01/01/2018,Active,17/01/2018,Active Client
235.7837746,1003,31/01/2018,781.7857876,563.7039383,TRUE,25,Now Prove It,17/01/2018,Education,TRUE,TRUE,0,01/01/2018,Active,17/01/2018,Active Client
237.4977787,1004,31/01/2018,795.877327,208.6842248,TRUE,21,More Generous Investing,03/01/2018,FinancialPlan,TRUE,TRUE,5,01/01/2018,Active,03/01/2018,Active Client
640.5845903,1004,31/01/2018,663.2711776,316.7258425,FALSE,0,,15/05/2018,RetirementBrokerage,TRUE,FALSE,0,01/01/2018,Inactive,03/01/2018,Inactive Client
144.5957607,1004,31/01/2018,619.1162043,403.8338653,TRUE,93,A Loan With A View,03/01/2018,RetirementPlan,TRUE,TRUE,4,01/01/2018,Active,03/01/2018,Active Client
881.5511035,1005,30/11/2017,553.2003798,784.0090506,TRUE,57,Now Prove It,01/11/2017,RetirementBrokerage,TRUE,TRUE,2,01/10/2017,Active,01/11/2017,Active Client
0.108986647,1005,30/11/2017,782.2153077,187.1721598,TRUE,74,More Generous Investing,01/11/2017,RetirementPlan,TRUE,TRUE,3,01/10/2017,Active,01/11/2017,Active Client
928.3362227,1005,30/11/2017,654.3336975,992.6204019,TRUE,141,,11/06/2018,ManagedPortfolio,TRUE,FALSE,1,01/10/2017,Inactive,01/11/2017,Inactive Client
133.24104,1005,30/11/2017,0.695135962,219.1077274,TRUE,5,More Generous Investing,01/11/2017,RetirementBasic,TRUE,TRUE,2,01/10/2017,Active,01/11/2017,Active Client
337.932312,1006,31/08/2017,92.24835207,406.5470296,TRUE,99,Now Prove It,03/08/2017,FinancialPlan,TRUE,TRUE,2,01/08/2017,Active,03/08/2017,Active Client
503.8862653,1006,31/08/2017,703.4198943,583.1401485,TRUE,104,Wealth Comes in Many Forms,03/08/2017,RetirementBrokerage,TRUE,TRUE,0,01/08/2017,Active,03/08/2017,Active Client
95.35012812,1006,31/08/2017,464.4007265,805.4769132,TRUE,5,More Generous Investing,03/08/2017,RetirementPlan,TRUE,TRUE,1,01/08/2017,Active,03/08/2017,Active Client
854.4572551,1006,31/08/2017,634.9630069,388.7240053,TRUE,141,,10/09/2018,ManagedPortfolio,TRUE,FALSE,2,01/08/2017,Inactive,03/08/2017,Inactive Client
455.3229354,1007,31/12/2016,276.0673131,182.1631157,TRUE,122,Now Prove It,23/12/2016,Brokerage,TRUE,TRUE,5,01/12/2016,Active,23/12/2016,Active Client
42.66095179,1007,31/12/2016,145.6506856,388.9812281,FALSE,0,,03/12/2017,Savings,TRUE,FALSE,2,01/12/2016,Inactive,23/12/2016,Inactive Client
360.2500368,1007,31/12/2016,855.8166669,790.5495314,TRUE,82,More Generous Investing,23/12/2016,FinancialPlan,TRUE,TRUE,2,01/12/2016,Active,23/12/2016,Active Client
403.4304809,1007,31/12/2016,598.2357235,579.7698649,TRUE,132,The Best Things in Life Are Not Fees,23/12/2016,RetirementBrokerage,TRUE,TRUE,4,01/12/2016,Active,23/12/2016,Active Client
745.9584863,1007,31/12/2016,456.0349394,232.6826875,TRUE,23,Wealth Comes in Many Forms,23/12/2016,RetirementPlan,TRUE,TRUE,5,01/12/2016,Active,23/12/2016,Active Client
367.5625326,1008,28/02/2018,439.9847582,471.1159068,TRUE,53,Now Prove It,03/02/2018,FinancialPlan,TRUE,TRUE,0,01/02/2018,Active,03/02/2018,Active Client
736.1430136,1008,28/02/2018,191.1045038,63.81186453,TRUE,136,,11/03/2018,RetirementBrokerage,TRUE,FALSE,3,01/02/2018,Inactive,03/02/2018,Inactive Client
945.7705963,1008,28/02/2018,111.889057,870.3306518,TRUE,19,More Generous Investing,03/02/2018,RetirementPlan,TRUE,TRUE,1,01/02/2018,Active,03/02/2018,Active Client
406.5515601,1008,28/02/2018,470.2173877,757.2342642,TRUE,31,Now Prove It,03/02/2018,ManagedPortfolio,TRUE,TRUE,0,01/02/2018,Active,03/02/2018,Active Client
692.3433317,1009,31/07/2016,348.1870099,297.695727,TRUE,48,More Generous Investing,20/07/2016,FinancialPlan,TRUE,TRUE,5,01/07/2016,Active,20/07/2016,Active Client
928.2361183,1009,31/07/2016,81.22246823,690.9323169,TRUE,141,A Loan With A View,20/07/2016,RetirementBrokerage,TRUE,TRUE,4,01/07/2016,Active,20/07/2016,Active Client
222.5701461,1009,31/07/2016,783.9743721,304.4655572,TRUE,113,Wealth Comes in Many Forms,20/07/2016,RetirementPlan,TRUE,TRUE,1,01/07/2016,Active,20/07/2016,Active Client
646.159344,1010,30/09/2018,820.9222868,517.7644278,TRUE,2,More Generous Investing,05/09/2018,RetirementBrokerage,TRUE,TRUE,0,01/09/2018,Active,05/09/2018,Active Client
875.9610141,1010,30/09/2018,254.633354,288.7346999,TRUE,147,The Best Things in Life Are Not Fees,05/09/2018,RetirementPlan,TRUE,TRUE,2,01/09/2018,Active,05/09/2018,Active Client
449.8805702,1010,30/09/2018,249.3410959,566.4671208,TRUE,19,Now Prove It,05/09/2018,RetirementBasic,TRUE,TRUE,5,01/09/2018,Active,05/09/2018,Active Client
54.85613737,1011,29/02/2016,230.4405108,328.4099992,TRUE,138,Now Prove It,31/01/2016,RetirementBrokerage,TRUE,TRUE,4,01/01/2016,Active,31/01/2016,Active Client
866.9115687,1011,29/02/2016,539.3051312,203.9152531,FALSE,0,,11/05/2018,RetirementPlan,TRUE,FALSE,1,01/01/2016,Inactive,31/01/2016,Inactive Client
825.3667345,1012,30/04/2016,578.9050079,842.6950745,TRUE,35,More Generous Investing,28/04/2016,Savings,TRUE,TRUE,3,01/04/2016,Active,28/04/2016,Active Client
609.0510028,1012,30/04/2016,9.514770657,742.0319771,FALSE,0,,19/05/2017,Education,TRUE,FALSE,1,01/04/2016,Inactive,28/04/2016,Inactive Client
212.9028495,1012,30/04/2016,377.7065392,351.1050714,FALSE,0,,04/11/2016,FinancialPlan,TRUE,FALSE,1,01/04/2016,Inactive,28/04/2016,Inactive Client
664.1484543,1012,30/04/2016,816.4723047,511.8394104,TRUE,78,More Generous Investing,28/04/2016,ManagedPortfolio,TRUE,TRUE,4,01/04/2016,Active,28/04/2016,Active Client
283.4566531,1013,30/06/2017,122.9679305,455.2575419,TRUE,47,Now Prove It,12/06/2017,FinancialPlan,TRUE,TRUE,0,01/06/2017,Active,12/06/2017,Active Client
59.95939898,1013,30/06/2017,491.1767869,331.6481386,TRUE,147,,22/05/2018,RetirementBrokerage,TRUE,FALSE,2,01/06/2017,Inactive,12/06/2017,Inactive Client
775.5971561,1013,30/06/2017,967.3155479,278.9727761,TRUE,38,Wealth Comes in Many Forms,12/06/2017,RetirementPlan,TRUE,TRUE,1,01/06/2017,Active,12/06/2017,Active Client
773.4313576,1013,30/06/2017,369.7997626,27.13974298,TRUE,59,Wealth Comes in Many Forms,12/06/2017,ManagedPortfolio,TRUE,TRUE,0,01/06/2017,Active,12/06/2017,Active Client
237.1693001,1013,30/06/2017,753.5622071,531.3531937,FALSE,0,,13/06/2017,RetirementBasic,TRUE,FALSE,0,01/06/2017,Inactive,12/06/2017,Inactive Client
680.191739,1014,28/02/2018,267.1839769,359.8573084,TRUE,45,More Generous Investing,07/02/2018,RetirementBrokerage,TRUE,TRUE,3,01/02/2018,Active,07/02/2018,Active Client
229.6640674,1014,28/02/2018,262.3945785,579.9249512,TRUE,51,Now Prove It,07/02/2018,RetirementPlan,TRUE,TRUE,4,01/02/2018,Active,07/02/2018,Active Client
390.0739725,1014,28/02/2018,581.4633114,45.65398546,FALSE,0,,12/08/2018,ManagedPortfolio,TRUE,FALSE,4,01/02/2018,Inactive,07/02/2018,Inactive Client
79.89319006,1014,28/02/2018,890.6270103,137.8675362,TRUE,138,Wealth Comes in Many Forms,07/02/2018,RetirementBasic,TRUE,TRUE,5,01/02/2018,Active,07/02/2018,Active Client
429.2636051,1015,31/05/2016,190.2694516,85.97680279,TRUE,114,Now Prove It,21/05/2016,Savings,TRUE,TRUE,0,01/05/2016,Active,21/05/2016,Active Client
552.0301144,1015,31/05/2016,874.0458658,224.5604049,TRUE,36,More Generous Investing,21/05/2016,RetirementBasic,TRUE,TRUE,2,01/05/2016,Active,21/05/2016,Active Client
640.2320661,1016,31/12/2017,414.0466603,897.8918481,TRUE,130,,11/02/2018,Cash,TRUE,FALSE,3,01/12/2017,Inactive,22/12/2017,Inactive Client
