ASSETS,CUSTOMER_ID,FUNDS_UNDER_MANAGEMENT,TOP_SPENDING_CATEGORY
120823,1000,100000,Recreation
120823,1000,100000,Recreation
120823,1000,100000,Recreation
120823,1000,100000,Recreation
120823,1000,100000,Recreation
120823,1000,100000,Recreation
120823,1000,100000,Recreation
120823,1000,100000,Recreation
120823,1000,100000,Recreation
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
253441,1001,1250000,Uncategorized
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
203284,1002,80000,Transportaion
194884,1003,80000,Transportaion
194884,1003,80000,Transportaion
194884,1003,80000,Transportaion
194884,1003,80000,Transportaion
194884,1003,80000,Transportaion
194884,1003,80000,Transportaion
194884,1003,80000,Transportaion
194884,1003,80000,Transportaion
194884,1003,80000,Transportaion
123576,1004,1250000,Food
123576,1004,1250000,Food
123576,1004,1250000,Food
123576,1004,1250000,Food
123576,1004,1250000,Food
123576,1004,1250000,Food
123576,1004,1250000,Food
123576,1004,1250000,Food
123576,1004,1250000,Food
213995,1005,1250000,Giving
213995,1005,1250000,Giving
213995,1005,1250000,Giving
213995,1005,1250000,Giving
213995,1005,1250000,Giving
213995,1005,1250000,Giving
213995,1005,1250000,Giving
213995,1005,1250000,Giving
213995,1005,1250000,Giving
213995,1005,1250000,Giving
213995,1005,1250000,Giving
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
169881,1006,180000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
217144,1007,750000,Health
