"ACQUISITION_COST","AGE_RANGE","ANNUAL_INCOME","BIRTH_YEAR","CONTACT_PREFERENCE","CREDIT_AUTHORITY_LEVEL","CREDIT_SCORE","CURRENT_EMPLOYMENT_START_DATE","CUSTOMER_BEHAVIOR","CUSTOMER_ID","DATE_FIRST_ACCOUNT_OPENED","DATE_LAST_ACCOUNT_OPENED","EDUCATION_LEVEL","EFFECTIVE_DATE","EMPLOYMENT_STATUS","FAMILY_SIZE","GENDER","HEAD_OF_HOUSEHOLD_INDICATOR","HOME_OWNER_INDICATOR","IMPORTANCE_LEVEL_CODE","INTERNET_BANKING_INDICATOR","LOYALTY_RATING_CODE","MARITAL_STATUS","MARKET_GROUP","MONTHLY_HOUSING_COST","MONTHLY_NET_INCOME","NUMBER_OF_DEPENDENT_CHILDREN","PREFERRED_COMMUNICATION_FORM","PRIMARY_SPOKEN_LANGUAGE","PRIMARY_WRITTEN_LANGUAGE","PROFESSION","PURSUIT","REFERRALS_VALUE_CODE","RELATIONSHIP_START_DATE","RETIREMENT_AGE","SATISFACTION_RATING_FROM_SURVEY","SPECIAL_TERMS_INDICATOR","STATUS","STATUS_DATE","WALLET_SHARE_PERCENTAGE","ASSETS","FUNDS_UNDER_MANAGEMENT","TOP_SPENDING_CATEGORY"
"49.482739099913985","40 to 55","121600.0","1962","mail","Very Low","770.9554746096093","2015-06-24","Growth","1088","2018-05-05","2018-05-05","University","2018-05-05","Homemaker","4","Female","1","0","High priority","0","85936","Married","Accumulating","1824.0","6080.0","2","Teleconference","English","English","Data Scientist","Increase Net Worth","Very Low","2018-05-05","67","very satisfied","0","Active","2018-05-05","53","192471","80000","Utilities"
"45.554358175643614","40 to 55","95056.0","1962","email","Low","730.319017705752","2016-08-14","Growth","1238","2018-04-15","2018-04-15","University","2018-04-15","Homemaker","4","Female","0","1","High priority","0","120462","Married","Accumulating","1425.84","4752.8","2","Teleconference","English","English","Data Scientist","Philanthropy","Very Low","2018-04-15","67","satisfied","0","Active","2018-04-15","42","156486","150000","Utilities"
"24.35586581236584","30 to 40","49835.0","1984","phone","Very High","651.7245071977071","2015-02-06","Conserviti","1342","2016-02-04","2016-02-04","College","2016-02-04","Employed","3","Male","1","1","Low priority","0","110170","Married","Starting","747.525","2491.75","1","Email","English","English","Lawyer","Capital Acquisition","Very High","2016-02-04","67","neutral","1","Active","2016-02-04","61","70256","300000","Recreation"
"87.60225702781811","65 and over","158985.0","1947","mail","Very High","705.0268596130742","2015-11-27","Aggressive","1580","2016-01-27","2016-01-27","PhD","2018-01-26","Retired","2","Male","1","0","Normal priority","0","62333","Married","Spending","2384.775","7949.25","0","In Person","English","English","Professor","Increase Net Worth","Low","2016-01-27","67","very satisfied","1","Inactive","2018-01-26","9","214945","750000","Insurance"
"11.385694089080276","23 to 30","90193.75","1992","phone","High","659.0771895595085","2017-05-28","Conserviti","1591","2016-01-23","2016-01-23","High School","2018-01-22","Unemployed","2","Female","1","1","Low priority","0","61335","Divorced","Accumulating","1352.90625","4509.6875","1","Email","English","English","Lawyer","Education Planning","High","2016-01-23","67","neutral","1","Inactive","2018-01-22","6","88900","300000","Recreation"
"84.17344623500746","65 and over","140097.0","1942","none","Very High","705.5604210947043","2016-07-13","Aggressive","1645","2018-09-14","2018-09-14","Professional","2018-09-14","Retired","1","Female","0","0","Normal priority","0","141973","Single","Gifting","2101.455","7004.8499999999985","0","In Person","English","English","Software Developer","Retirement Planning","Very High","2018-09-14","67","very satisfied","0","Active","2018-09-14","2","236553","1250000","Savings"
"22.72390932096461","65 and over","123419.0","1948","none","Very High","777.3711882584643","2015-12-15","Aggressive","1829","2016-03-08","2016-03-08","PhD","2016-03-08","Employed","2","Female","1","0","Normal priority","0","138769","Married","Spending","1851.285","6170.95","0","Other","English","English","Professor","Increase Net Worth","Medium","2016-03-08","67","very satisfied","0","Active","2016-03-08","21","199341","750000","Insurance"
"13.350962922015604","23 to 30","52617.0","1990","none","Very High","700.7042041793726","2014-08-01","Conserviti","1959","2016-04-27","2016-04-27","High School","2016-04-27","Unemployed","3","Male","1","1","Low priority","0","83974","Married","Starting","789.255","2630.85","1","Email","English","English","Trades person","Education Planning","High","2016-04-27","67","neutral","1","Active","2016-04-27","17","62865","300000","Recreation"
"39.14443146295618","23 to 30","55555.0","1992","mail","Very High","713.7506709011176","2015-12-07","Conserviti","1025","2016-08-24","2016-08-24","High School","2016-08-24","Unemployed","3","Male","1","1","Low priority","0","58769","Married","Starting","833.3249999999998","2777.75","1","Email","English","English","Trades person","Education Planning","Very High","2016-08-24","67","neutral","0","Active","2016-08-24","26","64642","300000","Recreation"
"41.496662760426304","65 and over","143935.0","1937","mail","Very High","760.3829228794002","2016-02-23","Aggressive","1084","2017-07-06","2017-07-06","Professional","2017-07-06","Retired","1","Female","1","0","Normal priority","1","121431","Divorced","Gifting","2159.025","7196.75","0","In Person","English","English","Software Developer","Retirement Planning","Very Low","2017-07-06","67","very satisfied","0","Active","2017-07-06","9","245697","1250000","Giving"
"7.492544229985211","65 and over","121967.0","1950","mail","Very High","762.9507957170337","2015-07-15","Aggressive","1127","2017-08-28","2017-08-28","PhD","2017-08-28","Homemaker","1","Female","0","0","High priority","0","99616","Single","Spending","1829.505","6098.3499999999985","0","In Person","English","English","Professor","Increase Net Worth","Very Low","2017-08-28","67","very satisfied","1","Active","2017-08-28","37","201002","750000","Transportaion"
"45.080006714319154","40 to 55","86596.0","1974","email","Medium","650.381243286848","2015-10-06","Moderate","1395","2018-09-14","2018-09-14","College","2018-09-14","Employed","4","Male","1","1","High priority","1","62860","Married","Accumulating","1298.94","4329.8","2","Email","English","English","Accountant","Estate Planning","Very High","2018-09-14","67","satisfied","0","Active","2018-09-14","41","128454","1250000","Food"
"87.63777103007268","30 to 40","105137.0","1983","email","Medium","670.8466522201259","2016-10-29","Moderate","1460","2018-08-28","2018-08-28","High School","2018-08-28","Employed","3","Male","0","1","Low priority","0","67909","Married","Accumulating","1577.0549999999996","5256.8499999999985","1","Email","English","English","Physician","Capital Acquisition","Medium","2018-08-28","67","satisfied","1","Active","2018-08-28","10","141717","1250000","Recreation"
"4.972959581641282","65 and over","131141.0","1937","mail","Very High","717.861682277823","2017-02-10","Aggressive","1483","2018-08-06","2018-08-06","Professional","2018-08-06","Selfemployed","1","Female","1","0","Normal priority","0","46436","Divorced","Gifting","1967.115","6557.049999999998","0","In Person","English","English","Software Developer","Retirement Planning","Very High","2018-08-06","67","very satisfied","0","Active","2018-08-06","69","230652","1250000","Giving"
"31.008612091882238","65 and over","135340.0","1937","mail","Very High","701.7763305927994","2014-12-06","Aggressive","1507","2016-12-23","2016-12-23","Professional","2016-12-23","Selfemployed","1","Female","0","0","Normal priority","1","128928","Divorced","Gifting","2030.1","6767.0","0","In Person","English","English","Software Developer","Retirement Planning","Very High","2016-12-23","67","very satisfied","1","Active","2016-12-23","59","238582","1250000","Giving"
"87.47415891755976","40 to 55","83165.0","1973","mail","Medium","753.0747282826866","2016-04-10","Moderate","1522","2017-09-03","2017-09-03","University","2017-09-03","Employed","4","Male","0","1","High priority","1","79401","Married","Accumulating","1247.475","4158.25","2","Email","English","English","Accountant","Estate Planning","Very High","2017-09-03","67","satisfied","0","Active","2017-09-03","35","129610","1250000","Food"
"46.57197392623402","40 to 55","95047.0","1970","phone","Low","725.333477444128","2015-12-21","Growth","1721","2018-07-20","2018-07-20","University","2018-07-20","Employed","4","Male","1","1","High priority","1","75424","Married","Accumulating","1425.7049999999995","4752.3499999999985","2","Email","English","English","Accountant","Estate Planning","Medium","2018-07-20","67","satisfied","0","Active","2018-07-20","72","145088","150000","Personal"
"39.491725815278784","65 and over","97325.0","1936","mail","Very Low","761.8636996508202","2015-11-21","Growth","1896","2016-07-28","2016-07-28","Professional","2016-07-28","Selfemployed","1","Female","1","1","Normal priority","1","87538","Divorced","Accumulating","1459.875","4866.25","0","In Person","English","English","Professor","Increase Net Worth","Very High","2016-07-28","67","very satisfied","1","Active","2016-07-28","66","185972","80000","Uncategorized"
