ACQUISITION_COST,AGE_RANGE,ANNUAL_INCOME,BIRTH_YEAR,CONTACT_PREFERENCE,CREDIT_AUTHORITY_LEVEL,CREDIT_SCORE,CURRENT_EMPLOYMENT_START_DATE,CUSTOMER_BEHAVIOR,CUSTOMER_ID,DATE_FIRST_ACCOUNT_OPENED,DATE_LAST_ACCOUNT_OPENED,EDUCATION_LEVEL,EFFECTIVE_DATE,EMPLOYMENT_STATUS,FAMILY_SIZE,GENDER,HEAD_OF_HOUSEHOLD_INDICATOR,HOME_OWNER_INDICATOR,IMPORTANCE_LEVEL_CODE,INTERNET_BANKING_INDICATOR,LOYALTY_RATING_CODE,MARITAL_STATUS,MARKET_GROUP,MONTHLY_HOUSING_COST,MONTHLY_NET_INCOME,NUMBER_OF_DEPENDENT_CHILDREN,PREFERRED_COMMUNICATION_FORM,PRIMARY_SPOKEN_LANGUAGE,PRIMARY_WRITTEN_LANGUAGE,PROFESSION,PURSUIT,REFERRALS_VALUE_CODE,RELATIONSHIP_START_DATE,RETIREMENT_AGE,SATISFACTION_RATING_FROM_SURVEY,SPECIAL_TERMS_INDICATOR,STATUS,STATUS_DATE,WALLET_SHARE_PERCENTAGE,ASSETS,FUNDS_UNDER_MANAGEMENT,TOP_SPENDING_CATEGORY
49.4827391,40 to 55,121600,1962,mail,Very Low,770.9554746,24/06/2015,Growth,1088,05/05/2018,05/05/2018,University,05/05/2018,Homemaker,4,Female,1,0,High priority,0,85936,Married,Accumulating,1824,6080,2,Teleconference,English,English,Data Scientist,Increase Net Worth,Very Low,05/05/2018,67,very satisfied,0,Active,05/05/2018,53,192471,80000,Utilities
45.55435818,40 to 55,95056,1962,email,Low,730.3190177,14/08/2016,Growth,1238,15/04/2018,15/04/2018,University,15/04/2018,Homemaker,4,Female,0,1,High priority,0,120462,Married,Accumulating,1425.84,4752.8,2,Teleconference,English,English,Data Scientist,Philanthropy,Very Low,15/04/2018,67,satisfied,0,Active,15/04/2018,42,156486,150000,Utilities
24.35586581,30 to 40,49835,1984,phone,Very High,651.7245072,06/02/2015,Conserviti,1342,04/02/2016,04/02/2016,College,04/02/2016,Employed,3,Male,1,1,Low priority,0,110170,Married,Starting,747.525,2491.75,1,Email,English,English,Lawyer,Capital Acquisition,Very High,04/02/2016,67,neutral,1,Active,04/02/2016,61,70256,300000,Recreation
87.60225703,65 and over,158985,1947,mail,Very High,705.0268596,27/11/2015,Aggressive,1580,27/01/2016,27/01/2016,PhD,26/01/2018,Retired,2,Male,1,0,Normal priority,0,62333,Married,Spending,2384.775,7949.25,0,In Person,Arabic,Arabic,Professor,Increase Net Worth,Low,27/01/2016,67,very satisfied,1,Inactive,26/01/2018,9,214945,750000,Insurance
11.38569409,23 to 30,90193.75,1992,phone,High,659.0771896,28/05/2017,Conserviti,1591,23/01/2016,23/01/2016,High School,22/01/2018,Unemployed,2,Female,1,1,Low priority,0,61335,Divorced,Accumulating,1352.90625,4509.6875,1,Email,English,English,Lawyer,Education Planning,High,23/01/2016,67,neutral,1,Inactive,22/01/2018,6,88900,300000,Recreation
84.17344624,65 and over,140097,1942,none,Very High,705.5604211,13/07/2016,Aggressive,1645,14/09/2018,14/09/2018,Professional,14/09/2018,Retired,1,Female,0,0,Normal priority,0,141973,Single,Gifting,2101.455,7004.85,0,In Person,English,English,Software Developer,Retirement Planning,Very High,14/09/2018,67,very satisfied,0,Active,14/09/2018,2,236553,1250000,Savings
22.72390932,65 and over,123419,1948,none,Very High,777.3711883,15/12/2015,Aggressive,1829,08/03/2016,08/03/2016,PhD,08/03/2016,Employed,2,Female,1,0,Normal priority,0,138769,Married,Spending,1851.285,6170.95,0,Other,Arabic,Arabic,Professor,Increase Net Worth,Medium,08/03/2016,67,very satisfied,0,Active,08/03/2016,21,199341,750000,Insurance
13.35096292,23 to 30,52617,1990,none,Very High,700.7042042,01/08/2014,Conserviti,1959,27/04/2016,27/04/2016,High School,27/04/2016,Unemployed,3,Male,1,1,Low priority,0,83974,Married,Starting,789.255,2630.85,1,Email,English,English,Trades person,Education Planning,High,27/04/2016,67,neutral,1,Active,27/04/2016,17,62865,300000,Recreation
39.14443146,23 to 30,55555,1992,mail,Very High,713.7506709,07/12/2015,Conserviti,1025,24/08/2016,24/08/2016,High School,24/08/2016,Unemployed,3,Male,1,1,Low priority,0,58769,Married,Starting,833.325,2777.75,1,Email,English,English,Trades person,Education Planning,Very High,24/08/2016,67,neutral,0,Active,24/08/2016,26,64642,300000,Recreation
41.49666276,65 and over,143935,1937,mail,Very High,760.3829229,23/02/2016,Aggressive,1084,06/07/2017,06/07/2017,Professional,06/07/2017,Retired,1,Female,1,0,Normal priority,1,121431,Divorced,Gifting,2159.025,7196.75,0,In Person,English,English,Software Developer,Retirement Planning,Very Low,06/07/2017,67,very satisfied,0,Active,06/07/2017,9,245697,1250000,Giving
