ACTIVITY_FEES,COMMUNICATIONS_AND_IT_EXPENSE,CUSTOMER_ID,END_DATE,INTEREST_EXPENSE,INTEREST_INCOME,LAST_CUSTOMER_REPLIED_TO_OFFER_INDICATOR,LAST_CUSTOMER_REPLY_TIME,LAST_INBOUND_COMMUNICATION_DATE,LAST_INBOUND_COMMUNICATION_ID,LAST_OUTBOUND_COMMUNICATION_DATE,LAST_OUTBOUND_COMMUNICATION_ID,LAST_PRODUCT_OFFER_CAMPAIGN,LAST_PRODUCT_OFFER_DATE,MANAGEMENT_FEES,OTHER_NON_INTEREST_EXPENSE,OTHER_NON_INTEREST_INCOME,PRODUCT_ID,PRODUCT_OFFERED_INDICATOR,PRODUCT_OWNED_INDICATOR,SENTIMENT_SCORE,START_DATE,STATUS,STATUS_DATE,STATUS_REASON,WAIVED_FEES,WAIVED_INTEREST_EXPENSE,WAIVED_INTEREST_INCOME,WAIVED_NON_INTEREST_EXPENSE, ,  
8176.8408,377.2536217,1000,31/01/2018,538.0385406,417.6208049,TRUE,16,02/01/2018,119953,02/01/2018,91103,More Generous Investing,02/01/2018,684.8834364,384.0673084,419.3179751,Cash,TRUE,TRUE,1,01/01/2018,Active,02/01/2018,Active Client,0,741.5306955,325.305618,170.9588632,,
8176.8408,292.280758,1000,31/01/2018,858.6765067,826.2433836,TRUE,128,02/01/2018,62139,02/01/2018,66736,The Best Things in Life Are Not Fees,02/01/2018,133.5287328,763.8911908,127.6559921,Brokerage,TRUE,TRUE,0,01/01/2018,Active,02/01/2018,Active Client,0,125.4245626,190.5454091,775.4816205,,
8176.8408,619.6249214,1000,31/01/2018,466.6515573,928.8642252,TRUE,148,,98216,,98992,,23/07/2018,761.406462,7.068826746,66.3113225,Savings,TRUE,FALSE,0,01/01/2018,Inactive,02/01/2018,Inactive Client,0,916.7250745,827.9213734,551.0597506,,
55630.82704,441.6187336,1001,30/11/2017,609.1153035,607.6129354,TRUE,60,29/11/2017,141854,29/11/2017,91435,More Generous Investing,29/11/2017,254.5788019,415.5535822,676.9392111,Savings,TRUE,TRUE,1,01/11/2017,Active,29/11/2017,Active Client,0,640.9041069,42.74727901,305.9571205,,
55630.82704,6.782678088,1001,30/11/2017,743.0131269,245.0013319,TRUE,100,29/11/2017,68604,29/11/2017,98378,A Loan With A View,29/11/2017,960.3595476,712.1104148,5.75915077,Education,TRUE,TRUE,4,01/11/2017,Active,29/11/2017,Active Client,0,698.880463,534.4831271,790.1267057,,
55630.82704,629.0562818,1001,30/11/2017,493.3553333,730.3176897,TRUE,118,29/11/2017,71393,29/11/2017,79206,Wealth Comes in Many Forms,29/11/2017,280.748618,830.5410338,277.6726322,FinancialPlan,TRUE,TRUE,1,01/11/2017,Active,29/11/2017,Active Client,0,299.2798891,479.7754656,381.5211802,,
55630.82704,101.9971992,1001,30/11/2017,628.9863814,121.3026563,TRUE,122,,91571,,46715,,02/05/2018,276.2487284,171.6087109,994.1225534,RetirementBrokerage,TRUE,FALSE,1,01/11/2017,Inactive,29/11/2017,Inactive Client,0,514.833076,641.0981948,56.60396103,,
55630.82704,575.0177724,1001,30/11/2017,378.1960249,336.7318078,FALSE,0,,102861,,49051,,19/05/2018,340.7234278,273.530395,609.5155564,RetirementPlan,TRUE,FALSE,4,01/11/2017,Inactive,29/11/2017,Inactive Client,0,483.6664902,300.4256973,497.8473357,,
55630.82704,370.2974091,1001,30/11/2017,531.5946071,101.9763823,FALSE,0,,99314,,75757,,16/06/2018,84.13830428,682.3094587,77.08900532,ManagedPortfolio,TRUE,FALSE,4,01/11/2017,Inactive,29/11/2017,Inactive Client,0,784.3879887,219.0020767,158.9739177,,
55630.82704,502.1136541,1001,30/11/2017,322.6557238,451.4005329,TRUE,65,29/11/2017,68392,29/11/2017,88385,A Loan With A View,29/11/2017,556.5020802,754.7109271,374.402571,RetirementBasic,TRUE,TRUE,0,01/11/2017,Active,29/11/2017,Active Client,0,903.1899062,336.5168631,625.2597624,,
17026.50781,168.7675845,1002,31/08/2017,966.5808301,64.50708204,TRUE,37,28/08/2017,86887,28/08/2017,109091,Now Prove It,28/08/2017,369.4109141,412.3042184,984.2815197,FinancialPlan,TRUE,TRUE,3,01/08/2017,Active,28/08/2017,Active Client,0,436.8380572,774.2443553,12.14163016,,
17026.50781,132.2498277,1002,31/08/2017,210.3450743,769.1388657,TRUE,53,28/08/2017,98922,28/08/2017,52438,Now Prove It,28/08/2017,186.8872644,177.408219,208.9694358,RetirementPlan,TRUE,TRUE,4,01/08/2017,Active,28/08/2017,Active Client,0,154.0027542,661.6365837,839.6615776,,
17026.50781,294.4591893,1002,31/08/2017,548.370795,45.00111447,TRUE,102,,112804,,54477,,06/08/2018,435.5144394,881.7949208,490.2129391,ManagedPortfolio,TRUE,FALSE,4,01/08/2017,Inactive,28/08/2017,Inactive Client,0,762.0934144,387.3666297,230.0601958,,
17026.50781,795.595657,1002,31/08/2017,613.7169516,859.2664149,FALSE,0,,115791,,103413,,13/01/2018,660.1816311,575.2852914,728.9777775,RetirementBasic,TRUE,FALSE,4,01/08/2017,Inactive,28/08/2017,Inactive Client,0,824.44506,656.6439167,375.906693,,
11387.3395,86.35324139,1003,31/01/2018,51.15579756,817.8076834,TRUE,47,17/01/2018,111223,17/01/2018,96571,Now Prove It,17/01/2018,909.1616348,803.1305815,849.5968122,Cash,TRUE,TRUE,2,01/01/2018,Active,17/01/2018,Active Client,0,517.8596065,421.745029,944.1670271,,
11387.3395,572.4304953,1003,31/01/2018,482.0029823,102.0048443,TRUE,134,,97763,,86001,,28/05/2018,469.1334321,678.7246223,330.783126,Brokerage,TRUE,FALSE,2,01/01/2018,Inactive,17/01/2018,Inactive Client,0,95.35560806,494.0228875,58.76305828,,
11387.3395,992.4208363,1003,31/01/2018,917.2466241,945.1472225,TRUE,96,17/01/2018,80362,17/01/2018,114817,A Loan With A View,17/01/2018,186.5824035,411.6892223,244.7941255,Savings,TRUE,TRUE,2,01/01/2018,Active,17/01/2018,Active Client,0,92.19643276,649.7675118,639.4635069,,
11387.3395,235.7837746,1003,31/01/2018,781.7857876,563.7039383,TRUE,25,17/01/2018,84945,17/01/2018,46802,Now Prove It,17/01/2018,394.088941,318.8448144,404.5070578,Education,TRUE,TRUE,0,01/01/2018,Active,17/01/2018,Active Client,0,342.1049864,279.2199751,847.8254167,,
9134.06133,237.4977787,1004,31/01/2018,795.877327,208.6842248,TRUE,21,03/01/2018,112684,03/01/2018,72524,More Generous Investing,03/01/2018,294.1757007,569.0232472,850.8973712,FinancialPlan,TRUE,TRUE,5,01/01/2018,Active,03/01/2018,Active Client,0,490.5664608,771.1339302,929.8291366,,
9134.06133,640.5845903,1004,31/01/2018,663.2711776,316.7258425,FALSE,0,,83259,,60090,,15/05/2018,910.4431983,805.4002315,143.4243436,RetirementBrokerage,TRUE,FALSE,0,01/01/2018,Inactive,03/01/2018,Inactive Client,0,510.5617841,79.55191067,379.2985645,,
9134.06133,144.5957607,1004,31/01/2018,619.1162043,403.8338653,TRUE,93,03/01/2018,51539,03/01/2018,58171,A Loan With A View,03/01/2018,844.3189086,174.6507704,200.6158442,RetirementPlan,TRUE,TRUE,4,01/01/2018,Active,03/01/2018,Active Client,0,424.6142853,974.9874925,957.1637286,,
47793.01854,881.5511035,1005,30/11/2017,553.2003798,784.0090506,TRUE,57,01/11/2017,70014,01/11/2017,78216,Now Prove It,01/11/2017,966.5430712,422.9084378,796.2003168,RetirementBrokerage,TRUE,TRUE,2,01/10/2017,Active,01/11/2017,Active Client,0,116.2088105,129.6443637,228.9895047,,
47793.01854,0.108986647,1005,30/11/2017,782.2153077,187.1721598,TRUE,74,01/11/2017,111515,01/11/2017,138595,More Generous Investing,01/11/2017,793.943209,393.9005357,725.4576317,RetirementPlan,TRUE,TRUE,3,01/10/2017,Active,01/11/2017,Active Client,0,785.4169964,806.094478,842.9585577,,
47793.01854,928.3362227,1005,30/11/2017,654.3336975,992.6204019,TRUE,141,,78199,,75141,,11/06/2018,541.8099461,730.5945566,193.32093,ManagedPortfolio,TRUE,FALSE,1,01/10/2017,Inactive,01/11/2017,Inactive Client,0,555.8295251,747.8574676,943.4695915,,
47793.01854,133.24104,1005,30/11/2017,0.695135962,219.1077274,TRUE,5,01/11/2017,62882,01/11/2017,89232,More Generous Investing,01/11/2017,32.18111517,982.3416879,189.7114909,RetirementBasic,TRUE,TRUE,2,01/10/2017,Active,01/11/2017,Active Client,0,845.0620304,752.3030986,801.1225579,,
44497.84368,337.932312,1006,31/08/2017,92.24835207,406.5470296,TRUE,99,03/08/2017,61830,03/08/2017,72760,Now Prove It,03/08/2017,985.1162134,846.450219,480.6633237,FinancialPlan,TRUE,TRUE,2,01/08/2017,Active,03/08/2017,Active Client,0,121.1582126,917.4500773,717.7787125,,
44497.84368,503.8862653,1006,31/08/2017,703.4198943,583.1401485,TRUE,104,03/08/2017,99286,03/08/2017,87730,Wealth Comes in Many Forms,03/08/2017,490.4122838,777.7322809,388.3945326,RetirementBrokerage,TRUE,TRUE,0,01/08/2017,Active,03/08/2017,Active Client,0,313.6410574,863.7145383,254.1782686,,
