RANK_ORDER,CODE,CODE_TYPE,TRANSLATED_CODE_LABEL,TRANSLATED_DESCRIPTION,LANGUAGE,EFFECTIVE_DATE
1000,CF,AMOUNT_DETERMINATION_METHOD,cashflow,,English,2017-10-31
2000,ACC,AMOUNT_DETERMINATION_METHOD,accrual,,English,2017-10-31
3000,REG,AMOUNT_DETERMINATION_METHOD,regulatory,,English,2017-10-31
1000,TERM,ANNUITY_DURATION_TYPE,term,,English,2017-10-31
2000,LIFE,ANNUITY_DURATION_TYPE,life,,English,2017-10-31
3000,GUAR,ANNUITY_DURATION_TYPE,life guarnateed term,,English,2017-10-31
4000,JOINT,ANNUITY_DURATION_TYPE,joint & survivor,,English,2017-10-31
1000,VPOS,ATTITUDE,very positive,,English,2017-10-31
2000,POS,ATTITUDE,positive,,English,2017-10-31
3000,NETURAL,ATTITUDE,neutral,,English,2017-10-31
4000,NEG,ATTITUDE,negative,,English,2017-10-31
5000,VNEG,ATTITUDE,very negative,,English,2017-10-31
1000,ABN,BLOOD_TYPE,AB negative,,English,2017-10-31
2000,ABP,BLOOD_TYPE,AB positive,,English,2017-10-31
3000,AN ,BLOOD_TYPE,A negative,,English,2017-10-31
4000,AP,BLOOD_TYPE,A positive,,English,2017-10-31
5000,BN,BLOOD_TYPE,B negative,,English,2017-10-31
6000,BP,BLOOD_TYPE,B positive,,English,2017-10-31
7000,ON,BLOOD_TYPE,O negative,,English,2017-10-31
8000,OP,BLOOD_TYPE,O positive,,English,2017-10-31
9000,UNK,BLOOD_TYPE,Unknown,,English,2017-10-31
1,TICKER,COMMON_ASSET_ID_CODE,Ticker,,English,2017-10-31
2,ISIN,COMMON_ASSET_ID_CODE,ISIN,,English,2017-10-31
3,REDCODE,COMMON_ASSET_ID_CODE,REDCode,,English,2017-10-31
100,CAD,CURRENCY,Canadian Dollar,,English,2017-10-31
200,CNY,CURRENCY,Chinese Yuan,,English,2017-10-31
300,EUR,CURRENCY,Euro,,English,2017-10-31
400,GBP,CURRENCY,British Pound,,English,2017-10-31
500,HKD,CURRENCY,Hong Kong Dollar,,English,2017-10-31
600,JPY,CURRENCY,Japanese Yen,,English,2017-10-31
700,MXN,CURRENCY,Mexican Peso,,English,2017-10-31
800,SGD,CURRENCY,Singapore Dollar,,English,2017-10-31
900,USD,CURRENCY,US Dollar,,English,2017-10-31
1000,ZAR,CURRENCY,South African Rand,,English,2017-10-31
10,NONE,DRINKING_HABIT_TYPE,Tee Totaller,,English,2017-10-31
20,OCCASIONAL,DRINKING_HABIT_TYPE,Occasional Drinker,,English,2017-10-31
30,MODERATE,DRINKING_HABIT_TYPE,Moderate Drinker,,English,2017-10-31
40,HEAVY,DRINKING_HABIT_TYPE,Heavy Drinker,,English,2017-10-31
50,RECOVERING,DRINKING_HABIT_TYPE,Recovering Alcoholic,,English,2017-10-31
60,BINGE,DRINKING_HABIT_TYPE,Binge Drinker,,English,2017-10-31
70,UNKNOWN,DRINKING_HABIT_TYPE,Unknown,,English,2017-10-31
0,COM,DRIVER_PROFILE_GROUP_CODE,commuter,,English,2017-10-31
1000,WW,DRIVER_PROFILE_GROUP_CODE,weekend warrior,,English,2017-10-31
2000,HM,DRIVER_PROFILE_GROUP_CODE,high-mileage per year,,English,2017-10-31
3000,OC ,DRIVER_PROFILE_GROUP_CODE,overly cautious,,English,2017-10-31
4000,LD,DRIVER_PROFILE_GROUP_CODE,long distance,,English,2017-10-31
5000,RR,DRIVER_PROFILE_GROUP_CODE,road racer,'A grouping of drivers with similar characteristics. e.g. Boy racer e.g. Communter e.g. Highway driver e.g. Long distance e.g. Stop start city drive,English,2017-10-31
6000,HD,DRIVER_PROFILE_GROUP_CODE,highway driver,,English,2017-10-31
7000,CIT,DRIVER_PROFILE_GROUP_CODE,stop start city driver,,English,2017-10-31
10,VALID,DRIVING_LICENSE_STATUS,Valid license,,English,2017-10-31
20,LIMITED,DRIVING_LICENSE_STATUS,Limited license,,English,2017-10-31
30,SUSPENDED,DRIVING_LICENSE_STATUS,Suspended,,English,2017-10-31
40,REVOKED,DRIVING_LICENSE_STATUS,Revoked,,English,2017-10-31
50,EXPIRED,DRIVING_LICENSE_STATUS,Expired,,English,2017-10-31
