CATEGORY,DESCRIPTION,EFFECTIVE_DATE,EVENT_TYPE_ID,EXTERNAL_ID,LIFE_EVENT_INDICATOR,NAME,PROOF_POSITIVE_INDICATOR,PROOF_POSITIVE_OF_EVENT,SOURCE,SUNSET_DATE,SUNSET_INDICATOR
Life,,2000-01-01,LFE_ATTRITION,LFE_ATTRITION,True,Attrition,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_NEW_CHILD,LFE_NEW_CHILD,True,Birth of Child ,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_COLLEGE_ENTER,LFE_COLLEGE_ENTER,True,College: enter,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_COLLEGE_EXIT,LFE_COLLEGE_EXIT,True,College: exit,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_DEATH,LFE_DEATH,True,Death,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_DEATH_BEREAVMENT,LFE_DEATH_BEREAVMENT,True,Bereavement,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_DIVORCE,LFE_DIVORCE,True,Divorce,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_ENGAGEMENT,LFE_ENGAGEMENT,True,Engagement,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_INSIDER_WINDOW_XPRY,LFE_INSIDER_WINDOW_XPRY,True,Expiration of window period for insiders,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_HOME_PURCHASE,LFE_HOME_PURCHASE,True,Home purchase,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_WINDFALL,LFE_WINDFALL,True,Inheritance / windfall,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_JOB_CHANGE,LFE_JOB_CHANGE,True,Job Change,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_LARGE_PURCHASE,LFE_LARGE_PURCHASE,True,Large purchase,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_MARRIAGE,LFE_MARRIAGE,True,Marriage,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_PREGNANCY,LFE_PREGNANCY,True,Pregnancy in household,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_RELOCATION,LFE_RELOCATION,True,Relocation,False,,Life Financial Events,,False
Life,,2000-01-01,LFE_RETIREMENT,LFE_RETIREMENT,True,Retirement,False,,Life Financial Events,,False
Transfers,,2000-01-01,XFER_FUNDS_OUT_LARGE,XFER_FUNDS_OUT_LARGE,False,70% deccumulation,True,LFE_ATTRITION,Tracking Events,,False
Transfers,,2000-01-01,XFER_FUNDS_IN,XFER_FUNDS_IN,False,Funds Transfer In,False,,Tracking Events,,False
Transfers,,2000-01-01,XFER_FUNDS_OUT,XFER_FUNDS_OUT,False,Funds Transfer Out,False,,Tracking Events,,False
Transfers,,2000-01-01,XFER_FUNDS_OUT_REC,XFER_FUNDS_OUT_REC,False,Funds Recurring Transfer Out,False,,Tracking Events,,False
Transfers,,2000-01-01,XFER_FUNDS_IN_REC,XFER_FUNDS_IN_REC,False,Funds Recurring Transfer In ,False,,Tracking Events,,False
Accounts,,2000-01-01,ACNT_SEC_OPEN_*,ACNT_SEC_OPEN_*,False,Open Securities Account,False,,Tracking Events,,False
