ACTIVITY_FEES,AMOUNT_OF_MANAGEMENT_FEES,ARREARS,AVERAGE_SENTIMENT_SCORE,END_DATE,HOUSEHOLD_ID,INTEREST_EXPENSE,INTEREST_INCOME,LAST_HOUSEHOLD_REPLIED_TO_OFFER_INDICATOR,LAST_HOUSEHOLD_REPLY_TIME,LAST_INBOUND_COMMUNICATION_DATE,LAST_INBOUND_COMMUNICATION_ID,LAST_OUTBOUND_COMMUNICATION_DATE,LAST_OUTBOUND_COMMUNICATION_ID,LAST_PRODUCT_OFFER_CAMPAIGN,LAST_PRODUCT_OFFER_DATE,LATEST_SENTIMENT_SCORE,LIFETIME_VALUE,MANAGEMENT_FEES,NUMBER_OF_ACCOUNTS,NUMBER_OF_ACTIVE_ACCOUNTS,NUMBER_OF_CALLS,NUMBER_OF_COMMUNICATIONS,NUMBER_OF_COMPLAINTS,NUMBER_OF_EMAILS,NUMBER_OF_NEW_ACCOUNTS_OPENED,NUMBER_OF_OPEN_COMPLAINTS,NUMBER_OF_TRADING_PERIODS,NUMBER_OF_TRANSACTIONS,OTHER_NON_INTEREST_EXPENSE,OTHER_NON_INTEREST_INCOME,PRODUCT_ID,PRODUCT_OFFERED_INDICATOR,PRODUCT_OWNED_INDICATOR,SENTIMENT_SCORE,START_DATE,STATUS,STATUS_DATE,STATUS_REASON,TOTAL_AMOUNT_OF_ALL_FEES,TOTAL_AMOUNT_OF_BUY_TRADES,TOTAL_AMOUNT_OF_COMMISSION,TOTAL_AMOUNT_OF_DEPOSITS,TOTAL_AMOUNT_OF_INTEREST_EARNED,TOTAL_AMOUNT_OF_INTEREST_FEES,TOTAL_AMOUNT_OF_MARKET_CHANGE,TOTAL_AMOUNT_OF_SELL_TRADES,TOTAL_AMOUNT_OF_TRANSACTION_FEES,TOTAL_AMOUNT_OF_WAIVED_FEES,TOTAL_AMOUNT_OF_WITHDRAWALS,TOTAL_CALL_TIME,TOTAL_CLOSING_BALANCE,TOTAL_CLOSING_CASH_BALANCE,TOTAL_INWARD_CALLS,TOTAL_INWARD_COMMUNICATIONS,TOTAL_INWARD_EMAILS,TOTAL_NUMBER_OF_ACCOUNTS,TOTAL_NUMBER_OF_ACTIVE_COMMUNICATION_THREADS,TOTAL_NUMBER_OF_ALL_FEES,TOTAL_NUMBER_OF_BUY_TRADES,TOTAL_NUMBER_OF_DEPOSITS,TOTAL_NUMBER_OF_SELL_TRADES,TOTAL_NUMBER_OF_UNITS_BOUGHT,TOTAL_NUMBER_OF_UNITS_SOLD,TOTAL_NUMBER_OF_WITHDRAWALS,TOTAL_OUTWARD_CALLS,TOTAL_OUTWARD_COMMUNICATIONS,TOTAL_OUTWARD_EMAILS,TRADING_VOLUME,TYPE,USER_DEFINED_BOOLEAN_1,USER_DEFINED_BOOLEAN_2,USER_DEFINED_BOOLEAN_3,USER_DEFINED_BOOLEAN_4,USER_DEFINED_BOOLEAN_5,USER_DEFINED_DATE_1,USER_DEFINED_DATE_2,USER_DEFINED_DATE_3,USER_DEFINED_DATE_4,USER_DEFINED_DATE_5,USER_DEFINED_INTEGER_1,USER_DEFINED_INTEGER_2,USER_DEFINED_INTEGER_3,USER_DEFINED_INTEGER_4,USER_DEFINED_INTEGER_5,USER_DEFINED_NUMERIC_1,USER_DEFINED_NUMERIC_2,USER_DEFINED_NUMERIC_3,USER_DEFINED_NUMERIC_4,USER_DEFINED_NUMERIC_5,USER_DEFINED_STRING_1,USER_DEFINED_STRING_2,USER_DEFINED_STRING_3,USER_DEFINED_STRING_4,USER_DEFINED_STRING_5,WAIVED_FEES,WAIVED_INTEREST_EXPENSE,WAIVED_INTEREST_INCOME,WAIVED_NON_INTEREST_EXPENSE
8176.840799897199,,,,2018-01-31,1000,538.0385405694736,417.6208048876638,True,16,2018-01-02,119953,2018-01-02,91103,More Generous Investing,2018-01-02,,,684.8834363742699,,,,,,,,,,,384.06730840793557,419.3179751289785,Cash,True,True,1,2018-01-01,Active,2018-01-02,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,741.5306954932049,325.305618047433,170.95886319831655
8176.840799897199,,,,2018-01-31,1000,858.6765067499608,826.2433835526164,True,128,2018-01-02,62139,2018-01-02,66736,The Best Things in Life Are Not Fees,2018-01-02,,,133.528732757301,,,,,,,,,,,763.8911907564429,127.65599212352907,Brokerage,True,True,0,2018-01-01,Active,2018-01-02,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,125.42456261463636,190.54540908672513,775.4816204908193
8176.840799897199,,,,2018-01-31,1000,466.65155730293,928.8642251652316,True,148,,98216,,98992,,2018-07-23,,,761.4064620241578,,,,,,,,,,,7.068826745664555,66.311322499872,Savings,True,False,0,2018-01-01,Inactive,2018-01-02,Inactive Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,916.7250745349914,827.9213734193529,551.0597506165308
55630.82704161626,,,,2017-11-30,1001,609.1153035266317,607.6129353657071,True,60,2017-11-29,141854,2017-11-29,91435,More Generous Investing,2017-11-29,,,254.57880191419434,,,,,,,,,,,415.55358220765606,676.9392110705428,Savings,True,True,1,2017-11-01,Active,2017-11-29,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,640.9041069408332,42.7472790100467,305.95712045258136
55630.82704161626,,,,2017-11-30,1001,743.0131269071578,245.0013319141709,True,100,2017-11-29,68604,2017-11-29,98378,A Loan With A View,2017-11-29,,,960.3595475775671,,,,,,,,,,,712.1104147556455,5.7591507702444,Education,True,True,4,2017-11-01,Active,2017-11-29,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,698.880463044941,534.4831270604008,790.1267056606971
55630.82704161626,,,,2017-11-30,1001,493.355333287507,730.3176896749998,True,118,2017-11-29,71393,2017-11-29,79206,Wealth Comes in Many Forms,2017-11-29,,,280.74861797575824,,,,,,,,,,,830.5410338458992,277.6726322007693,FinancialPlan,True,True,1,2017-11-01,Active,2017-11-29,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,299.2798891134197,479.7754655896487,381.52118020750004
55630.82704161626,,,,2017-11-30,1001,628.9863814361836,121.3026563018112,True,122,,91571,,46715,,2018-05-02,,,276.2487284016135,,,,,,,,,,,171.6087108662251,994.1225534132869,RetirementBrokerage,True,False,1,2017-11-01,Inactive,2017-11-29,Inactive Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,514.8330759938314,641.0981947680112,56.60396103494299
55630.82704161626,,,,2017-11-30,1001,378.1960249240972,336.7318078188625,False,0.0,,102861,,49051,,2018-05-19,,,340.72342777244495,,,,,,,,,,,273.5303949915281,609.5155564488865,RetirementPlan,True,False,4,2017-11-01,Inactive,2017-11-29,Inactive Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,483.66649024830275,300.4256973189655,497.84733565139237
55630.82704161626,,,,2017-11-30,1001,531.594607128097,101.9763822575001,False,0.0,,99314,,75757,,2018-06-16,,,84.13830428370017,,,,,,,,,,,682.3094587215232,77.08900532494819,ManagedPortfolio,True,False,4,2017-11-01,Inactive,2017-11-29,Inactive Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,784.3879887260404,219.00207669345806,158.97391774397008
55630.82704161626,,,,2017-11-30,1001,322.65572376615114,451.4005329195401,True,65,2017-11-29,68392,2017-11-29,88385,A Loan With A View,2017-11-29,,,556.5020801526744,,,,,,,,,,,754.7109270531997,374.4025710285717,RetirementBasic,True,True,0,2017-11-01,Active,2017-11-29,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,903.1899062030533,336.51686307849485,625.2597624075174
17026.50781072454,,,,2017-08-31,1002,966.5808300708868,64.50708204416048,True,37,2017-08-28,86887,2017-08-28,109091,Now Prove It,2017-08-28,,,369.410914128397,,,,,,,,,,,412.3042184459306,984.2815196591271,FinancialPlan,True,True,3,2017-08-01,Active,2017-08-28,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,436.8380571933829,774.2443553423093,12.141630163412481
17026.50781072454,,,,2017-08-31,1002,210.34507433309102,769.1388656545308,True,53,2017-08-28,98922,2017-08-28,52438,Now Prove It,2017-08-28,,,186.8872644229516,,,,,,,,,,,177.40821897466247,208.96943579523557,RetirementPlan,True,True,4,2017-08-01,Active,2017-08-28,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,154.00275423645837,661.636583701936,839.6615775916765
17026.50781072454,,,,2017-08-31,1002,548.3707950457764,45.001114471929306,True,102,,112804,,54477,,2018-08-06,,,435.51443942899954,,,,,,,,,,,881.7949207773519,490.2129390729001,ManagedPortfolio,True,False,4,2017-08-01,Inactive,2017-08-28,Inactive Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,762.0934143951288,387.3666297480366,230.06019578213045
17026.50781072454,,,,2017-08-31,1002,613.7169516189796,859.2664148598986,False,0.0,,115791,,103413,,2018-01-13,,,660.1816310611152,,,,,,,,,,,575.2852913945931,728.9777775045197,RetirementBasic,True,False,4,2017-08-01,Inactive,2017-08-28,Inactive Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,824.4450600198189,656.6439166614133,375.90669301317513
11387.339504206888,,,,2018-01-31,1003,51.1557975608439,817.8076834383002,True,47,2018-01-17,111223,2018-01-17,96571,Now Prove It,2018-01-17,,,909.1616347645535,,,,,,,,,,,803.1305815005414,849.5968122247373,Cash,True,True,2,2018-01-01,Active,2018-01-17,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,517.8596065416276,421.7450289782492,944.167027052409
11387.339504206888,,,,2018-01-31,1003,482.00298230600976,102.00484434674695,True,134,,97763,,86001,,2018-05-28,,,469.1334320997015,,,,,,,,,,,678.7246223316694,330.78312603154643,Brokerage,True,False,2,2018-01-01,Inactive,2018-01-17,Inactive Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,95.35560805963128,494.0228875423617,58.76305828323054
11387.339504206888,,,,2018-01-31,1003,917.2466241271846,945.1472225449894,True,96,2018-01-17,80362,2018-01-17,114817,A Loan With A View,2018-01-17,,,186.58240353926035,,,,,,,,,,,411.68922227006277,244.794125503282,Savings,True,True,2,2018-01-01,Active,2018-01-17,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,92.19643275989952,649.767511824229,639.4635069485147
11387.339504206888,,,,2018-01-31,1003,781.7857876078398,563.7039382946691,True,25,2018-01-17,84945,2018-01-17,46802,Now Prove It,2018-01-17,,,394.0889410107079,,,,,,,,,,,318.84481436841014,404.50705777329955,Education,True,True,0,2018-01-01,Active,2018-01-17,Active Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,342.1049863640382,279.21997509889695,847.8254167400837
