ACCOUNT_ID,ALGO_INSTRUMENT_ID,ALGO_PORTFOLIO_ID,ALGO_POSITION_ID,BOOK_VALUE,CURRENCY,EFFECTIVE_DATE,FINANCIAL_ASSET_ID,MARKET_VALUE,OPEN_POSITION_INDICATOR,POSITION_ID,POSITION_SIZE,SHORT_POSITION_INDICATOR,VALUATION_DATE
86323,86369,120001,80762,46.82628911427663,GBP,1954-11-25,61135,257.1721986300761,True,1000,707.0170529221898,True,1970-05-20
72369,79588,59307,60147,366.9024986373228,CAD,1984-10-13,46592,794.7904534514964,False,1001,823.1949751830036,True,2015-08-14
59377,56629,107293,56360,677.7974447024731,EUR,1996-10-28,84756,471.56089683107945,False,1002,137.6662860704551,False,2013-09-18
144176,132235,143491,139279,850.1131588114457,GBP,2003-03-02,119651,467.87118803592523,False,1003,151.49041373660677,False,1950-02-08
45046,86743,51652,140898,394.1803478468673,GBP,1971-10-22,108062,789.1092304354444,False,1004,803.2023110332564,True,1998-10-05
76911,67768,143053,116873,987.8349619514205,GBP,1995-07-30,91892,945.7600780037019,True,1005,462.64352212577967,False,2011-03-05
132095,58888,77776,101447,73.41292439954705,CAD,1982-03-31,91343,583.7574445648572,True,1006,504.89741965936554,False,2010-05-21
71924,115619,131161,74932,311.76432021704807,EUR,2015-09-28,125567,355.49709830744445,False,1007,683.462059810355,True,2010-08-29
82973,62049,80952,52581,543.845198379472,USD,2001-08-20,80436,793.7606025864194,True,1008,764.2074989346385,True,1992-01-08
134715,131375,68457,75614,583.2071167798964,GBP,2006-06-06,62465,556.6804052052097,True,1009,26.033035793671004,True,1976-03-11
134959,83896,107877,98457,326.20391089033495,GBP,1989-04-24,143177,820.5243536378717,False,1010,919.5856964269444,False,2011-05-23
89619,127264,134838,65221,365.45005144221466,CAD,1984-11-24,143237,824.3901439524161,False,1011,196.48674327776405,True,1954-03-29
98172,51960,93317,103541,182.82071761894935,EUR,1961-02-21,97127,534.1582470607071,True,1012,203.50786229320988,True,1966-02-13
96931,54597,49928,118859,358.35507821186167,USD,2007-06-20,136302,442.18456621916835,False,1013,50.426234111295216,False,1992-04-06
60563,48535,77605,143716,821.8520150634474,USD,1956-03-17,138741,954.0031705116868,True,1014,572.906247949871,False,1979-05-08
128129,118131,67892,62651,646.7517163824159,USD,1968-04-30,90794,242.4736597212364,True,1015,43.84092596673257,True,1953-12-19
118446,104080,95679,78501,131.32458402679453,EUR,2013-05-04,79081,483.3948223054928,False,1016,981.3676574470053,False,1952-11-18
132138,129216,67554,112157,870.8395001690437,GBP,1995-11-04,54018,584.8064678880437,False,1017,553.7391515391555,True,2008-05-16
99175,111180,51288,94120,834.7344903846515,CAD,1992-05-07,75714,430.1178891497652,True,1018,32.131234478544265,True,1996-12-16
113523,78083,96307,130667,988.2324986083934,CAD,1994-02-08,112109,977.0984842160398,False,1019,867.4382614124272,False,2016-08-26
122981,45631,84373,135570,288.7826653278387,USD,1958-10-12,65633,24.466620550604834,True,1020,708.8795583176766,False,1955-05-10
128779,72548,77146,62386,3.685011228824233,CAD,2012-06-08,98025,962.1168820569702,False,1021,375.05608595510466,False,1980-03-06
103095,99183,80175,103110,720.5161201330665,CAD,2014-02-24,119787,669.1044617266868,True,1022,328.53984458095806,True,1992-03-30
46797,117045,118488,143010,673.4810889376325,EUR,1968-03-05,50883,151.01673966416806,True,1023,383.0443528590588,False,1955-07-20
73599,109463,61890,71312,898.1497393906677,EUR,1986-03-24,79520,803.2071223750579,False,1024,59.704561648018924,False,2013-09-28
47378,83804,77418,117242,670.1583460928881,GBP,1966-07-14,62004,798.5898379246167,True,1025,108.69649271123998,False,2012-10-13
95613,77116,54545,127837,998.6884917506202,EUR,1991-02-16,125037,613.8907681847243,False,1026,917.8319293324256,False,2001-07-21
53090,122387,85871,56060,641.4082102315238,GBP,2017-02-22,73589,21.559777816370975,True,1027,646.2443523552043,False,1986-12-09
93828,72501,70577,113752,446.3894895005225,EUR,1972-11-07,101740,101.65102076419281,True,1028,97.31880501260787,False,1959-11-06
91907,109565,54061,74434,431.16202816998714,USD,2000-12-09,54433,489.58630367564524,False,1029,380.9097605650541,True,1998-03-05
107675,96673,70309,63673,201.57325454125507,EUR,1984-05-11,52533,385.8778213740102,True,1030,870.4319357094839,False,1983-04-17
91305,107469,61537,66059,124.70663388016962,USD,1977-11-03,105519,305.87728323207875,False,1031,129.51678627346246,False,1963-08-19
91342,82570,85591,127886,650.1312763338108,USD,1998-06-02,48921,547.262582489983,False,1032,534.1800664249374,True,2000-05-23
129059,46226,99424,61506,605.9360754868418,CAD,1989-09-30,73248,430.2071783016647,False,1033,823.2757845151011,True,1995-09-04
90119,107347,98005,115338,510.41884466301815,USD,1971-02-01,110590,756.5690610450783,False,1034,395.93583130601314,False,2014-04-11
77788,77388,46341,75980,880.7067664946311,USD,1998-05-19,71353,185.50263066483075,True,1035,816.7190143721134,True,1961-01-21
66332,141125,50610,130941,973.1917030848717,GBP,1979-07-03,119160,994.9007498665588,True,1036,855.0042322988428,True,1975-11-07
138669,61720,54753,49782,870.5029904494224,USD,1983-05-08,116588,778.5029870868765,False,1037,774.5253304313122,False,1957-02-19
93672,101629,62277,49303,70.42037561225159,CAD,2011-09-14,118843,923.5363076252872,False,1038,227.78243058865283,False,2016-05-04
76254,118384,79178,58881,755.3960059202692,USD,2014-01-21,144329,265.40420090617835,True,1039,312.52961810223485,True,1982-02-17
124829,128173,135839,59017,459.079897816587,USD,1950-02-21,56565,140.55199223542257,False,1040,915.3228600826128,True,1955-03-14
64396,89187,141278,70402,673.3938400604982,EUR,2007-10-01,132507,535.4741260040242,False,1041,729.052715351538,True,1959-09-23
124059,140474,121758,60612,107.39283970141916,EUR,1970-11-17,115977,862.7979182824688,False,1042,526.3953469523697,False,1992-10-11
138253,135595,121072,54244,31.654778871753866,EUR,1971-02-18,48559,318.7544819167879,False,1043,902.6406334706594,True,1971-08-03
99972,119841,137991,127540,877.9259969665338,CAD,1992-08-02,50006,431.2183755107356,True,1044,14.414266934551307,False,1977-07-28
105336,50387,65645,129218,566.6130127784786,CAD,1956-12-26,49560,925.1293441354483,True,1045,750.590648727749,True,1991-07-18
73441,81313,51855,105078,752.2939008071778,EUR,2006-10-22,109111,893.1360399442027,False,1046,850.084309390311,True,1979-08-19
87420,112600,114755,140602,937.629640239019,EUR,1994-08-31,136475,539.2214206219363,False,1047,299.8384773406015,False,1986-06-12
130485,74981,97133,68171,501.01979046560865,CAD,1990-12-23,51795,475.4587740946278,False,1048,619.4665171430395,True,2015-07-21
93017,59597,140385,74237,131.49998963452092,CAD,2013-05-20,144136,351.7948704662115,False,1049,110.13171411050465,False,2001-12-25
111774,78689,129890,70550,425.12259948369837,USD,1962-02-27,86842,359.92916426323916,False,1050,318.0294124801639,True,1992-10-23
87695,111727,115245,92687,750.1021012809629,CAD,2002-08-23,118326,531.4217897679748,False,1051,56.35259793120741,True,1976-12-26
101069,76316,90018,60528,611.006159263814,USD,1961-01-29,64010,551.5896449480639,False,1052,153.63024612717473,False,2009-02-13
89334,51137,116412,134045,148.005404093209,GBP,1994-04-22,99760,274.5068364292023,True,1053,554.3488065988405,False,1964-11-26
132404,56995,84357,116755,115.43388966290796,GBP,1992-11-18,141295,225.22618951446705,False,1054,267.6266903589022,True,1979-10-04
81919,77656,56560,46997,408.119690654406,GBP,2007-10-23,140877,337.66565105858876,True,1055,774.3100670321817,True,2000-05-22
101714,136423,129359,121144,301.7741972403841,GBP,1961-05-10,99762,216.8896457353116,False,1056,654.5171119896097,False,2003-09-23
94819,85809,94041,123509,550.5196961260226,EUR,2017-10-21,129453,257.86733636032136,True,1057,395.2105630022557,True,1983-09-29
128807,139703,120184,76683,481.0967968812924,GBP,1990-05-02,127505,121.94582336662569,False,1058,802.8059544482209,True,1966-04-13
45894,47633,48526,49492,274.6853970221106,USD,2002-07-23,58664,155.78622016539938,False,1059,776.5537274082508,False,1973-05-10
144000,55841,112931,107111,860.7275127627967,GBP,2017-11-03,109321,742.7385488291173,True,1060,398.8185052325526,True,1966-06-27
72693,117518,62004,78272,973.5628609515868,USD,2005-04-06,63964,350.13892156779036,False,1061,449.55466535328765,False,1987-07-25
108474,125839,129474,110355,441.9911266064391,CAD,1961-02-15,104937,246.28749850655018,True,1062,805.1176732177731,False,2008-06-30
104507,75360,133704,103082,369.9512872905723,GBP,2014-01-22,141817,791.4486742497668,True,1063,138.64573081409344,False,1965-02-26
50872,85794,142107,84241,306.6928165300221,USD,2017-08-12,95982,812.5585658990743,True,1064,735.3633039425272,False,1996-02-15
140865,144824,67672,51369,353.820840005331,USD,1989-02-03,96473,166.14345710791156,False,1065,76.38879817895938,False,2010-12-27
139080,113056,59903,136852,630.3521526083349,EUR,1952-12-21,81733,437.19784385798613,False,1066,186.4731809636722,False,1992-02-26
88220,135190,64074,59860,780.2142142861569,GBP,1968-07-07,138016,861.9558481008827,True,1067,901.8518238312076,True,1998-10-25
90852,120648,56999,72204,515.77473715838,USD,2009-05-14,68121,303.8440089711455,True,1068,202.54025486882776,True,1976-11-04
140955,69449,140365,66798,231.24705507880256,CAD,1954-08-11,58187,990.1697375682126,True,1069,991.9044288475843,True,1983-04-08
79878,126379,130217,49527,528.4636401938154,GBP,1972-02-09,64242,417.81690784327753,True,1070,555.9616152021017,False,1988-05-10
119460,96042,118752,121308,763.845388838678,GBP,1967-06-23,61189,97.59893768921779,True,1071,11.628095709448443,False,1987-02-03
70278,133716,52246,91920,228.47584124842518,CAD,1982-05-24,105174,132.26298662903585,True,1072,522.5052323390929,False,2017-03-31
142193,64985,51571,117568,417.58247875768694,CAD,1985-02-02,118146,543.92191714209,True,1073,11.956367262854702,False,2014-02-27
79195,58218,107373,125135,98.26265618610624,CAD,1958-12-25,128893,729.6132888504965,True,1074,180.25316411628782,True,2013-10-07
72391,85094,73827,139933,333.7848154426071,EUR,1985-01-29,76214,142.16292948849807,True,1075,260.3929662455979,True,2000-02-07
93028,71462,103318,114092,532.5131596340432,GBP,1992-04-21,134505,359.2614153699437,True,1076,969.4477235612643,True,1954-11-08
144904,52280,76973,109586,370.4956928879024,USD,1966-02-09,56776,864.5666451283108,True,1077,225.39233125699948,False,1983-03-13
104497,117337,45654,83224,929.2919521775232,USD,1996-06-05,46072,531.1262969537426,False,1078,209.86253252458275,True,2011-08-15
121034,140957,82293,81714,338.66789407657745,CAD,2012-06-05,69247,981.0019717372963,False,1079,41.54561108804375,True,1969-06-29
123426,117938,125215,73336,177.09293336146547,GBP,1959-10-03,95755,251.19985657776965,False,1080,902.1415251164178,True,1985-12-03
126153,56877,65227,74342,951.124278271202,USD,1957-01-07,58712,367.8962682715627,False,1081,343.86924742298277,True,1979-06-13
