ACCOUNT_ID,AMOUNT,CHANNEL_ORGANIZATION_ID,CHANNEL_PERSON_ID,CURRENCY,DESCRIPTION,FEE_AMOUNT,QUANTITY_UNITS,TRANSACTION_DATE,TRANSACTION_ID,TRANSACTION_TYPE_CODE
84749,362.5358162619936,51671,134107,USD,,195.6966656696683,869.2171386890388,1985-07-17,1000,condimentum suscipit
81653,186.32287042708484,49526,101789,CAD,,4.24247516617385,994.1279616839079,1999-06-28,1001,ultricies
125707,568.719102891097,133493,96112,GBP,,390.85214521380794,742.26098121975,2010-11-12,1002,tristique
85888,708.8869213129215,90154,77990,GBP,,189.043895592382,541.928441496402,1961-12-03,1003,condimentum suscipit
98193,127.667734219709,64844,70496,GBP,,888.1141491334088,935.8659638760389,2017-08-18,1004,ultricies
45742,524.7571358985596,131057,72452,GBP,,389.46011128423226,579.0730379693581,2000-07-16,1005,nulla curabitur
100866,920.9413595656304,117493,60872,GBP,,676.44701930777,186.18952349475916,1992-05-29,1006,nulla curabitur
93355,180.24085924983507,102253,48748,USD,,455.46791118124526,848.9212371266053,1952-07-10,1007,nulla curabitur
125702,348.31638431061583,96768,95155,GBP,,998.3255968809472,996.8976146731337,1954-04-16,1008,tristique
123131,417.30446960613557,60341,113112,EUR,,482.67173557908484,230.75818126220275,1990-12-14,1009,ultricies
136311,174.4428601100042,113454,92485,USD,,816.217870085369,210.5865191648062,1961-11-23,1010,tristique
71210,902.6971776276084,106728,71967,USD,,764.1486921112846,231.65433109950757,1967-04-28,1011,lorem ipsum
122619,544.4387345152652,113464,119170,CAD,,439.7545452271443,289.3574880777554,1985-07-13,1012,tristique
108873,806.5296758845919,103958,66720,EUR,,367.9134105928502,389.84687211641517,1986-08-21,1013,ultricies
48147,309.32878161402704,116595,95678,USD,,591.7299815243342,159.65901959204632,1965-04-09,1014,nulla curabitur
108298,35.04244181531413,100669,144751,GBP,,595.0848065923171,842.6659748177974,1970-07-31,1015,tristique
142992,105.6391500763038,65831,99692,GBP,,648.6294456504562,242.2694035403047,2013-02-07,1016,nulla curabitur
105456,199.03881003208357,88417,108368,GBP,,128.1559103428373,294.71843293158105,1971-06-03,1017,tristique
95891,32.44475460984657,64375,84929,CAD,,67.0811061109464,702.4617525034191,2012-08-24,1018,lorem ipsum
54821,490.9070443997469,54427,66212,USD,,648.5928261076249,444.9431647953493,1999-01-15,1019,ultricies
138526,646.6157811518302,61008,68231,CAD,,805.9981885772713,673.7502389774717,1979-12-31,1020,semper viverra
140566,144.10912767454298,60391,46473,GBP,,676.9213163359976,200.83905573688682,2017-08-27,1021,semper viverra
67892,618.9421159160634,109763,131669,USD,,94.4733407404182,288.5760357001653,2004-12-04,1022,tincidunt donec
107335,855.5347590909439,120456,108288,CAD,,540.3227845218153,104.48169114766998,2004-08-19,1023,tristique
140602,40.097018456986895,135142,79401,CAD,,197.97656181643575,222.94065947579006,1966-04-27,1024,nulla curabitur
131221,67.51435176365047,73771,140226,CAD,,250.69957161382672,420.34663940135783,2003-08-01,1025,ultricies
111925,212.09665968252344,79049,88668,GBP,,67.16166596322385,265.72621661277,1953-05-18,1026,nulla curabitur
113495,798.5017405298285,100341,101223,CAD,,181.58087343393896,352.61747261636447,1997-12-18,1027,semper viverra
71294,441.71624522445717,50748,95059,EUR,,435.8296097344444,27.271710040607832,1989-01-30,1028,condimentum suscipit
135549,574.3997689974493,97449,79761,USD,,208.8230462514892,290.582909778905,1982-07-14,1029,nulla curabitur
84925,463.9197149403686,100735,108704,EUR,,871.7834135862331,112.94507081016941,2008-03-17,1030,tincidunt donec
140380,328.19257063600594,52785,114368,GBP,,735.989061240288,972.9613355546171,1957-01-16,1031,tincidunt donec
138850,104.98425471404965,91534,58995,CAD,,409.02229238825356,458.8765799640308,2010-02-09,1032,condimentum suscipit
76556,766.066790954335,62199,121855,USD,,832.6373424914567,795.177844303782,2000-10-09,1033,nulla curabitur
120980,361.1511670091208,114250,47372,GBP,,279.0066241186122,167.46744997707376,2002-08-27,1034,nulla curabitur
118721,876.565255157324,81692,76677,EUR,,745.5185652336703,427.3032695338584,2007-03-20,1035,condimentum suscipit
55924,223.66934611999778,86993,59309,GBP,,701.5782915062905,336.1807313259646,1982-03-03,1036,ultricies
76214,166.12406467834455,74169,53664,USD,,317.7798587582351,257.5568489038305,1965-08-29,1037,nulla curabitur
75978,454.1217905474748,58888,117177,GBP,,388.53782739769326,451.60800431591883,1985-06-18,1038,tristique
100562,175.03146381751733,131644,47666,GBP,,578.3363781852784,235.15252582618695,1964-07-06,1039,lorem ipsum
105507,93.35991606872096,109246,125988,GBP,,612.236625469157,661.3764177367658,1983-04-10,1040,nulla curabitur
83456,425.2047666475519,67417,110006,USD,,282.51567936388494,798.9594566317242,2008-10-01,1041,condimentum suscipit
142730,647.9831594805489,53127,73557,CAD,,305.2317998924003,691.9976923281099,1997-04-09,1042,ultricies
136669,138.30720245877288,99002,51457,EUR,,859.7272620249502,10.239677661641261,1999-01-20,1043,condimentum suscipit
119940,676.9514224363676,58190,74922,GBP,,278.75324013819693,21.252625879217522,1963-01-07,1044,tristique
50088,648.3614165167685,86473,77656,GBP,,880.2700674032475,222.8071347413625,1999-12-12,1045,ultricies
68151,559.1565172614611,89048,68721,EUR,,112.3939670886116,47.68273978402316,1969-12-25,1046,condimentum suscipit
48016,909.9131201659068,57245,125082,GBP,,252.7968200829369,319.79307491780764,2009-07-20,1047,tristique
55478,418.9125813865119,81078,136199,EUR,,541.7470908233291,583.8570892560268,2004-08-30,1048,tincidunt donec
143480,652.0773510260782,93856,81123,EUR,,358.8568525126471,685.0851600172189,1975-07-11,1049,lorem ipsum
121077,822.7839829976111,104806,88841,USD,,395.125246678411,612.1056494933449,1961-05-20,1050,condimentum suscipit
68284,469.1704224981108,48074,121328,GBP,,901.8942858570178,22.780444523759662,1985-05-06,1051,semper viverra
50054,794.9131260205348,107522,97617,USD,,726.3097420740272,987.7963631060543,1960-09-14,1052,tincidunt donec
110871,801.9937122649044,47864,65587,CAD,,918.3161427855822,834.7583886930812,2013-12-30,1053,condimentum suscipit
59610,718.0306652680015,144801,86623,EUR,,518.363939417342,557.7711567259078,1986-03-04,1054,condimentum suscipit
130528,417.1747482285468,144443,115324,CAD,,10.513285105842256,843.6877833604808,2007-01-12,1055,ultricies
138381,998.9929166666199,89135,46383,USD,,713.7510291678701,549.8165750961559,1988-08-21,1056,ultricies
109818,473.08646233211425,133285,130634,USD,,132.11677114859472,197.17085985500876,1981-05-24,1057,lorem ipsum
56552,518.616699836523,132078,87695,GBP,,610.6817270627921,121.44192776255296,1961-01-24,1058,nulla curabitur
77200,928.0978514906589,77150,67329,EUR,,330.28561715432414,393.71587659148213,1967-12-24,1059,nulla curabitur
97587,399.53566139447935,66230,126185,USD,,186.9799569087957,552.5270063916147,1985-03-21,1060,semper viverra
130690,134.61228846620915,118945,49540,CAD,,99.6011050365706,584.893520718114,1998-09-01,1061,tristique
125222,254.89778024270842,67664,52232,EUR,,278.6213674009248,617.5058865839454,2000-04-10,1062,semper viverra
121625,377.58522737581103,135206,140435,GBP,,508.01454804700217,772.8523940390552,1950-11-01,1063,nulla curabitur
106258,281.9580097824219,114678,56815,USD,,562.8851162839388,528.2276852670393,1986-04-26,1064,nulla curabitur
120305,731.607285077954,63046,124472,GBP,,578.7510923120484,470.2303517403072,1952-02-07,1065,ultricies
58221,484.15037177606195,67401,104690,CAD,,199.6884960145812,821.3494532595569,1954-04-17,1066,ultricies
49385,119.13449854514107,101149,107790,GBP,,3.430604948694184,480.5959367746605,2008-06-17,1067,condimentum suscipit
